Evaluate.py:18: unused variable 'Thoughts' (60% confidence, 1 line)
Writer/Chapter/ChapterGenSummaryCheck.py:11: unused variable 'Suggestions' (60% confidence, 1 line)
Writer/Chapter/ChapterGenSummaryCheck.py:12: unused variable 'DidFollowOutline' (60% confidence, 1 line)
Writer/Config.py:59: unused variable 'CHAPTER_QUALITY' (60% confidence, 1 line)
Writer/Config.py:87: unused variable 'OPTIONAL_OUTPUT_NAME' (60% confidence, 1 line)
Writer/Config.py:104: unused variable 'GENERATE_CHAPTER_TITLES' (60% confidence, 1 line)
Writer/Config.py:105: unused variable 'TITLE_MAX_TOKENS' (60% confidence, 1 line)
Writer/Config.py:134: unused variable 'LOREBOOK_SIMILARITY_THRESHOLD' (60% confidence, 1 line)
Writer/Config.py:137: unused variable 'PYDANTIC_STRICT_MODE' (60% confidence, 1 line)
Writer/Config.py:138: unused variable 'PYDANTIC_FALLBACK_TO_REPAIR' (60% confidence, 1 line)
Writer/Config.py:148: unused variable 'EMBEDDING_DIMENSIONS' (60% confidence, 1 line)
Writer/Config.py:149: unused variable 'EMBEDDING_CTX' (60% confidence, 1 line)
Writer/Interface/OpenRouter.py:2: unused import 'Any' (90% confidence, 1 line)
Writer/LLMEditor.py:10: unused variable 'IsComplete' (60% confidence, 1 line)
Writer/LLMEditor.py:14: unused variable 'IsComplete' (60% confidence, 1 line)
Writer/Lorebook.py:16: unused variable 'chroma_version' (60% confidence, 1 line)
Writer/Lorebook.py:23: unused variable 'chroma_version' (60% confidence, 1 line)
Writer/Lorebook.py:27: unused variable 'chroma_version' (60% confidence, 1 line)
Writer/Models.py:3: unused import 'Any' (90% confidence, 1 line)
Writer/Models.py:16: unused variable 'characters_present' (60% confidence, 1 line)
Writer/Models.py:22: unused variable 'cls' (100% confidence, 1 line)
Writer/Models.py:38: unused variable 'cls' (100% confidence, 1 line)
Writer/Models.py:48: unused variable 'json_encoders' (60% confidence, 1 line)
Writer/Models.py:59: unused variable 'genre' (60% confidence, 1 line)
Writer/Models.py:60: unused variable 'theme' (60% confidence, 1 line)
Writer/Models.py:61: unused variable 'chapters' (60% confidence, 1 line)
Writer/Models.py:62: unused variable 'character_list' (60% confidence, 1 line)
Writer/Models.py:63: unused variable 'setting' (60% confidence, 1 line)
Writer/Models.py:64: unused variable 'target_chapter_count' (60% confidence, 1 line)
Writer/Models.py:68: unused variable 'cls' (100% confidence, 1 line)
Writer/Models.py:81: unused variable 'cls' (100% confidence, 1 line)
Writer/Models.py:93: unused variable 'characters' (60% confidence, 1 line)
Writer/Models.py:94: unused variable 'locations' (60% confidence, 1 line)
Writer/Models.py:95: unused variable 'themes' (60% confidence, 1 line)
Writer/Models.py:96: unused variable 'conflict' (60% confidence, 1 line)
Writer/Models.py:97: unused variable 'resolution' (60% confidence, 1 line)
Writer/Models.py:106: unused variable 'previous_chapter_summary' (60% confidence, 1 line)
Writer/Models.py:107: unused variable 'story_context' (60% confidence, 1 line)
Writer/Models.py:108: unused variable 'chapter_outline' (60% confidence, 1 line)
Writer/Models.py:109: unused variable 'word_count_target' (60% confidence, 1 line)
Writer/Models.py:116: unused variable 'tokens_used' (60% confidence, 1 line)
Writer/Models.py:117: unused variable 'generation_time' (60% confidence, 1 line)
Writer/Models.py:118: unused variable 'retry_count' (60% confidence, 1 line)
Writer/Models.py:119: unused variable 'model_used' (60% confidence, 1 line)
Writer/Models.py:123: unused variable 'json_encoders' (60% confidence, 1 line)
Writer/Models.py:132: unused variable 'coherence_score' (60% confidence, 1 line)
Writer/Models.py:133: unused variable 'relevance_score' (60% confidence, 1 line)
Writer/Models.py:134: unused variable 'completeness_score' (60% confidence, 1 line)
Writer/Models.py:135: unused variable 'feedback' (60% confidence, 1 line)
Writer/Models.py:136: unused variable 'revision_count' (60% confidence, 1 line)
Writer/Models.py:140: unused variable 'cls' (100% confidence, 1 line)
Writer/Models.py:151: unused variable 'scene_number' (60% confidence, 1 line)
Writer/Models.py:152: unused variable 'setting' (60% confidence, 1 line)
Writer/Models.py:153: unused variable 'characters_present' (60% confidence, 1 line)
Writer/Models.py:154: unused variable 'action' (60% confidence, 1 line)
Writer/Models.py:155: unused variable 'purpose' (60% confidence, 1 line)
Writer/Models.py:156: unused variable 'estimated_word_count' (60% confidence, 1 line)
Writer/Models.py:160: unused variable 'cls' (100% confidence, 1 line)
Writer/Models.py:172: unused variable 'scene_transitions' (60% confidence, 1 line)
Writer/PDFGenerator.py:188: unused variable 'html' (60% confidence, 1 line)
Writer/Prompts.py:181: unused variable 'EXPAND_OUTLINE_CHAPTER_BY_CHAPTER' (60% confidence, 1 line)
Writer/Prompts_id.py:183: unused variable 'EXPAND_OUTLINE_CHAPTER_BY_CHAPTER' (60% confidence, 1 line)
Writer/ReasoningChain.py:5: unused import 'Tuple' (90% confidence, 1 line)
Writer/StoryInfo.py:10: unused variable 'Summary' (60% confidence, 1 line)
Writer/StoryInfo.py:11: unused variable 'Tags' (60% confidence, 1 line)
Writer/StoryInfo.py:12: unused variable 'OverallRating' (60% confidence, 1 line)
Writer/Interface/Wrapper.py:587: unused method 'BuildAssistantQuery' (60% confidence, 2 lines)
Writer/Lorebook.py:330: unused method 'embed_documents' (60% confidence, 5 lines)
Writer/Lorebook.py:336: unused method 'embed_query' (60% confidence, 5 lines)
Writer/PrintUtils.py:7: unused function 'PrintMessageHistory' (60% confidence, 5 lines)
Writer/ReasoningChain.py:281: unused method 'clear_cache' (60% confidence, 5 lines)
Writer/Models.py:138: unused method 'validate_scores' (60% confidence, 7 lines)
Writer/Models.py:158: unused method 'validate_setting' (60% confidence, 7 lines)
Writer/Models.py:79: unused method 'validate_characters' (60% confidence, 8 lines)
Writer/PrintUtils.py:115: unused method 'SaveStory' (60% confidence, 8 lines)
Writer/Models.py:36: unused method 'validate_word_count_consistency' (60% confidence, 10 lines)
Writer/ReasoningChain.py:270: unused method 'get_stats' (60% confidence, 10 lines)
Writer/Models.py:66: unused method 'validate_chapters' (60% confidence, 12 lines)
Writer/Models.py:20: unused method 'validate_content' (60% confidence, 15 lines)
Writer/PromptsHelper.py:21: unused function 'ensure_prompts_language' (60% confidence, 16 lines)
Writer/Interface/Wrapper.py:639: unused method '_ollama_embedding' (60% confidence, 23 lines)
Writer/Interface/Wrapper.py:663: unused method '_google_embedding' (60% confidence, 24 lines)
Writer/Interface/Wrapper.py:449: unused method '_openrouter_chat' (60% confidence, 25 lines)
Writer/Interface/Wrapper.py:421: unused method '_google_chat' (60% confidence, 27 lines)
Writer/Lorebook.py:344: unused method 'get_stats' (60% confidence, 30 lines)
Writer/Interface/OpenRouter.py:137: unused method 'set_params' (60% confidence, 37 lines)
Writer/Interface/Wrapper.py:688: unused method '_openrouter_embedding' (60% confidence, 38 lines)
Writer/Interface/Wrapper.py:368: unused method '_ollama_chat' (60% confidence, 52 lines)
